name,post,tenure,photo,linkedin,github,instagram,email
Abhishek Meena,coordinator,2024-25,,,,,
Aryan Verma,coordinator,2024-25,,,,,
Harshit Sharma,coordinator,2024-25,,,,,
Kunal Shikhar,coordinator,2024-25,,,,,
Ojas Brid,coordinator,2023-24,,,,,
Rishi Agrawal,coordinator,2023-24,,,,,
Sarthak Agarwal,coordinator,2023-24,,,,,
Shashikant Yadav,coordinator,2023-24,,,,,
Ishan Bawne,coordinator,2022-23,,,,,
Naman Jain,coordinator,2022-23,,,,,
Prakhar Pratap Mall,coordinator,2022-23,,,,,
Rudransh Gupta,coordinator,2022-23,,,,,
Abhay Pratap Singh,Leader,2021-22,,,,,
Jeet Sethia,Leader,2021-22,,,,,
Siddartha Pratap Singh,Leader,2021-22,,,,,
Yash Gupta,Leader,2021-22,,,,,
Mayant Mukul,Founder,2020-21,,,,,
Sugam Srivastava,Founder,2020-21,,,,,
